Fishery.Project,Date,Year,Harvest
Fish Creek Personal Use,15-Jul,2023,0
Fish Creek Personal Use,16-Jul,2023,0
Fish Creek Personal Use,17-Jul,2023,0
Fish Creek Personal Use,18-Jul,2023,0
Fish Creek Personal Use,19-Jul,2023,0
Fish Creek Personal Use,20-Jul,2023,0
Fish Creek Personal Use,21-Jul,2023,0
Fish Creek Personal Use,22-Jul,2023,1528
Fish Creek Personal Use,23-Jul,2023,1512
Fish Creek Personal Use,24-Jul,2023,1526
Fish Creek Personal Use,25-Jul,2023,1379
Fish Creek Personal Use,26-Jul,2023,934
Fish Creek Personal Use,27-Jul,2023,1700
Fish Creek Personal Use,28-Jul,2023,1396
Fish Creek Personal Use,29-Jul,2023,2014
Fish Creek Personal Use,30-Jul,2023,3027
Fish Creek Personal Use,31-Jul,2023,4050
Fish Creek Personal Use,15-Jul,2022,0
Fish Creek Personal Use,16-Jul,2022,0
Fish Creek Personal Use,17-Jul,2022,0
Fish Creek Personal Use,18-Jul,2022,0
Fish Creek Personal Use,19-Jul,2022,0
Fish Creek Personal Use,20-Jul,2022,0
Fish Creek Personal Use,21-Jul,2022,1527
Fish Creek Personal Use,22-Jul,2022,1779
Fish Creek Personal Use,23-Jul,2022,2533
Fish Creek Personal Use,24-Jul,2022,2200
Fish Creek Personal Use,25-Jul,2022,5010
Fish Creek Personal Use,26-Jul,2022,5255
Fish Creek Personal Use,27-Jul,2022,4571
Fish Creek Personal Use,28-Jul,2022,3424
Fish Creek Personal Use,29-Jul,2022,2749
Fish Creek Personal Use,30-Jul,2022,1878
Fish Creek Personal Use,31-Jul,2022,1554
Fish Creek Personal Use,15-Jul,2020,0
Fish Creek Personal Use,16-Jul,2020,0
Fish Creek Personal Use,17-Jul,2020,0
Fish Creek Personal Use,18-Jul,2020,0
Fish Creek Personal Use,19-Jul,2020,1849
Fish Creek Personal Use,20-Jul,2020,2015
Fish Creek Personal Use,21-Jul,2020,2328
Fish Creek Personal Use,22-Jul,2020,1658
Fish Creek Personal Use,23-Jul,2020,2078
Fish Creek Personal Use,24-Jul,2020,1500
Fish Creek Personal Use,25-Jul,2020,1528
Fish Creek Personal Use,26-Jul,2020,1200
Fish Creek Personal Use,27-Jul,2020,1650
Fish Creek Personal Use,28-Jul,2020,889
Fish Creek Personal Use,29-Jul,2020,1050
Fish Creek Personal Use,30-Jul,2020,1490
Fish Creek Personal Use,31-Jul,2020,2216
Fish Creek Personal Use,15-Jul,2019,0
Fish Creek Personal Use,16-Jul,2019,0
Fish Creek Personal Use,17-Jul,2019,0
Fish Creek Personal Use,18-Jul,2019,0
Fish Creek Personal Use,19-Jul,2019,0
Fish Creek Personal Use,20-Jul,2019,0
Fish Creek Personal Use,21-Jul,2019,0
Fish Creek Personal Use,22-Jul,2019,0
Fish Creek Personal Use,23-Jul,2019,0
Fish Creek Personal Use,24-Jul,2019,0
Fish Creek Personal Use,25-Jul,2019,0
Fish Creek Personal Use,26-Jul,2019,1686
Fish Creek Personal Use,27-Jul,2019,1210
Fish Creek Personal Use,28-Jul,2019,2003
Fish Creek Personal Use,29-Jul,2019,1990
Fish Creek Personal Use,30-Jul,2019,1955
Fish Creek Personal Use,31-Jul,2019,1297
Fish Creek Personal Use,15-Jul,2018,0
Fish Creek Personal Use,16-Jul,2018,0
Fish Creek Personal Use,17-Jul,2018,0
Fish Creek Personal Use,18-Jul,2018,0
Fish Creek Personal Use,19-Jul,2018,0
Fish Creek Personal Use,20-Jul,2018,0
Fish Creek Personal Use,21-Jul,2018,0
Fish Creek Personal Use,22-Jul,2018,0
Fish Creek Personal Use,23-Jul,2018,0
Fish Creek Personal Use,24-Jul,2018,1919
Fish Creek Personal Use,25-Jul,2018,2319
Fish Creek Personal Use,26-Jul,2018,2627
Fish Creek Personal Use,27-Jul,2018,1714
Fish Creek Personal Use,28-Jul,2018,1317
Fish Creek Personal Use,29-Jul,2018,1641
Fish Creek Personal Use,30-Jul,2018,1376
Fish Creek Personal Use,31-Jul,2018,1447
Fish Creek Personal Use,15-Jul,2017,0
Fish Creek Personal Use,16-Jul,2017,0
Fish Creek Personal Use,17-Jul,2017,0
Fish Creek Personal Use,18-Jul,2017,0
Fish Creek Personal Use,19-Jul,2017,0
Fish Creek Personal Use,20-Jul,2017,0
Fish Creek Personal Use,21-Jul,2017,0
Fish Creek Personal Use,22-Jul,2017,0
Fish Creek Personal Use,23-Jul,2017,0
Fish Creek Personal Use,24-Jul,2017,6
Fish Creek Personal Use,25-Jul,2017,20
Fish Creek Personal Use,26-Jul,2017,430
Fish Creek Personal Use,27-Jul,2017,708
Fish Creek Personal Use,28-Jul,2017,774
Fish Creek Personal Use,29-Jul,2017,682
Fish Creek Personal Use,30-Jul,2017,544
Fish Creek Personal Use,31-Jul,2017,387
Fish Creek Personal Use,15-Jul,2015,0
Fish Creek Personal Use,16-Jul,2015,0
Fish Creek Personal Use,17-Jul,2015,0
Fish Creek Personal Use,18-Jul,2015,0
Fish Creek Personal Use,19-Jul,2015,0
Fish Creek Personal Use,20-Jul,2015,0
Fish Creek Personal Use,21-Jul,2015,0
Fish Creek Personal Use,22-Jul,2015,0
Fish Creek Personal Use,23-Jul,2015,0
Fish Creek Personal Use,24-Jul,2015,672
Fish Creek Personal Use,25-Jul,2015,1679
Fish Creek Personal Use,26-Jul,2015,2005
Fish Creek Personal Use,27-Jul,2015,1829
Fish Creek Personal Use,28-Jul,2015,2130
Fish Creek Personal Use,29-Jul,2015,2464
Fish Creek Personal Use,30-Jul,2015,2326
Fish Creek Personal Use,31-Jul,2015,1608
Fish Creek Personal Use,15-Jul,2014,0
Fish Creek Personal Use,16-Jul,2014,0
Fish Creek Personal Use,17-Jul,2014,0
Fish Creek Personal Use,18-Jul,2014,0
Fish Creek Personal Use,19-Jul,2014,0
Fish Creek Personal Use,20-Jul,2014,0
Fish Creek Personal Use,21-Jul,2014,0
Fish Creek Personal Use,22-Jul,2014,0
Fish Creek Personal Use,23-Jul,2014,0
Fish Creek Personal Use,24-Jul,2014,672
Fish Creek Personal Use,25-Jul,2014,1679
Fish Creek Personal Use,26-Jul,2014,2005
Fish Creek Personal Use,27-Jul,2014,1829
Fish Creek Personal Use,28-Jul,2014,2130
Fish Creek Personal Use,29-Jul,2014,2464
Fish Creek Personal Use,30-Jul,2014,2326
Fish Creek Personal Use,31-Jul,2014,1608
